link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,11,91,88,90,25,25,15,36
0,3,35,76,64,96,44,83,35
1,2,62,19,96,25,92,72,46
1,6,15,34,74,79,38,34,94
2,10,78,19,90,19,35,48,48
2,11,15,56,20,40,95,36,56
2,14,56,41,51,84,86,54,16
3,7,43,85,63,47,63,66,80
4,13,92,85,70,77,76,81,10
4,6,68,16,72,23,58,69,88
4,5,75,89,77,53,45,81,54
5,7,83,21,42,19,27,53,96
6,13,25,58,13,55,75,22,43
6,14,63,57,49,97,76,72,53
6,7,32,69,35,75,96,21,14
8,16,66,67,64,52,96,61,88
8,12,40,17,79,83,52,67,57
8,15,22,40,96,90,66,98,72
9,16,13,42,95,59,77,77,33
9,14,44,63,73,43,62,63,76
9,15,91,92,74,42,29,14,96
10,19,60,28,17,72,30,37,96
12,13,80,90,58,12,36,98,55
13,16,22,66,19,40,23,85,54
13,14,99,52,32,18,43,30,51
14,15,81,99,41,65,27,99,34
14,17,70,25,68,97,15,72,35
15,16,38,27,65,34,81,57,53
16,17,87,57,86,14,61,24,79
17,18,25,88,16,33,81,78,85
17,19,65,96,56,44,24,60,67
11,0,40,97,76,81,39,81,16
3,0,12,64,71,29,25,23,72
2,1,79,15,53,59,69,32,65
6,1,46,84,12,60,29,16,62
10,2,81,35,23,39,12,23,72
11,2,46,23,25,51,64,20,21
14,2,54,25,53,96,67,60,69
7,3,76,73,76,76,28,41,14
13,4,39,98,85,80,92,91,73
6,4,75,31,77,19,25,81,57
5,4,52,62,15,81,63,22,59
7,5,74,71,79,89,20,44,32
13,6,52,79,42,27,90,93,90
14,6,67,71,54,79,91,46,12
7,6,96,41,66,27,68,18,88
16,8,19,99,97,31,49,54,40
12,8,98,78,34,24,43,14,21
15,8,19,71,25,69,34,16,61
16,9,22,41,54,80,26,83,26
14,9,94,42,59,19,95,29,49
15,9,62,26,89,11,16,72,19
19,10,34,59,23,53,98,72,74
13,12,37,84,17,74,83,27,94
16,13,74,44,98,42,29,57,63
14,13,33,63,46,23,93,93,25
15,14,18,83,11,39,11,79,81
17,14,96,59,67,91,34,29,51
16,15,23,81,63,47,36,12,30
17,16,58,92,49,44,24,55,60
18,17,21,48,73,24,16,59,88
19,17,78,39,20,81,51,62,49
source,destination
15,6
lower_bound,upperbound
228,342
155.2,194
151.2,229.2
0,254.4
0,328.8
0,315.6
included_node(s)
14
