link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,3,37,19,19,26,79,67,73
0,6,79,78,24,65,93,55,14
1,18,69,68,90,82,88,38,20
1,6,41,77,49,98,14,96,99
2,10,75,46,90,53,63,75,58
2,3,43,95,85,73,55,50,81
3,9,96,93,35,29,57,82,69
3,16,47,51,17,99,32,27,82
4,5,70,55,35,51,64,27,32
4,7,53,63,73,61,24,45,75
5,8,15,23,99,55,99,31,74
5,12,11,17,45,64,36,44,16
5,16,41,63,75,31,13,11,45
5,7,76,61,14,67,94,29,10
6,16,65,86,40,69,30,81,34
6,7,70,86,25,17,60,28,32
7,16,38,90,48,27,17,34,98
8,12,66,31,19,32,98,79,32
9,16,90,98,64,70,78,75,85
9,10,46,13,10,40,22,52,62
9,18,54,34,21,58,34,12,31
11,16,63,36,91,25,73,43,43
11,12,28,96,20,24,42,64,43
12,13,84,59,73,57,17,94,25
12,15,89,92,72,93,62,78,69
12,16,14,56,76,75,88,65,79
13,14,11,47,33,41,84,70,92
14,16,82,54,97,69,19,70,65
15,16,47,91,33,58,93,59,74
16,17,60,85,31,99,22,72,80
16,18,73,27,11,98,27,41,16
3,0,74,62,42,74,73,78,99
6,0,40,26,97,65,15,27,46
18,1,42,47,53,80,67,69,26
6,1,16,40,82,34,77,74,60
10,2,15,24,87,70,68,92,95
3,2,37,43,90,15,22,71,97
9,3,64,33,69,53,86,18,30
16,3,53,27,94,69,52,71,39
5,4,98,50,26,18,76,88,81
7,4,17,86,42,15,11,16,57
8,5,20,40,55,76,51,92,13
12,5,99,57,23,72,65,84,88
16,5,10,12,70,88,14,17,92
7,5,48,53,60,43,98,73,65
16,6,27,43,53,42,47,66,74
7,6,70,88,85,57,26,87,25
16,7,77,44,60,23,15,98,63
12,8,45,26,62,26,46,45,96
16,9,22,48,11,28,95,62,62
10,9,23,99,22,53,28,12,78
18,9,51,50,74,74,32,99,28
16,11,76,75,54,43,68,96,95
12,11,41,58,32,29,60,29,21
13,12,35,61,99,83,40,93,95
15,12,65,29,26,36,82,74,64
16,12,97,14,98,94,48,84,91
14,13,36,60,84,76,76,25,87
16,14,10,35,75,57,92,96,81
16,15,45,95,31,53,94,95,27
17,16,48,46,16,76,50,87,29
18,16,73,52,77,55,71,89,49
source,destination
4,9
lower_bound,upperbound
395.2,592.8
234.4,293
453.6,410.4
0,387.6
0,452.4
0,250.8
included_node(s)
5
