link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,95,67,42,45,85,31,76
2,6,68,51,73,62,44,64,74
2,8,48,17,40,43,95,96,35
2,9,45,77,26,14,55,26,55
4,3,58,80,10,19,22,31,57
5,3,27,77,81,68,17,28,29
5,4,15,85,52,99,66,42,96
5,6,41,26,61,15,24,74,97
5,7,27,92,60,80,67,36,92
7,6,87,72,53,47,63,59,15
7,8,93,12,61,64,57,65,27
9,11,93,79,73,40,46,12,83
10,9,28,13,17,30,47,77,79
10,11,73,81,26,37,47,28,96
12,13,84,31,48,25,36,82,43
14,8,11,28,35,17,88,59,60
14,10,70,28,29,91,59,37,53
14,12,98,37,96,22,92,53,58
14,13,81,82,89,85,67,30,85
14,15,58,55,87,29,47,53,15
14,17,58,43,79,26,58,85,43
14,19,74,14,71,97,96,61,58
14,20,35,30,28,16,81,37,26
14,21,41,59,67,32,42,21,22
14,24,62,81,37,61,44,97,70
15,8,48,30,90,86,40,21,22
15,9,62,27,73,96,28,22,58
15,10,83,65,58,71,15,44,80
15,11,68,94,25,86,38,73,28
16,9,76,88,24,12,63,68,34
16,15,37,92,24,85,32,50,71
17,18,63,23,19,31,75,94,57
19,18,97,91,49,64,59,32,98
19,20,38,61,54,28,79,98,58
19,23,60,90,87,36,82,21,64
21,8,55,33,49,73,33,15,17
21,19,55,38,35,86,86,78,39
21,22,65,37,39,87,48,15,22
21,23,49,49,10,40,10,80,14
23,22,72,30,47,29,15,66,31
24,0,53,10,45,86,12,26,28
24,1,42,13,23,95,57,97,83
24,2,65,61,73,59,51,31,66
24,3,33,65,14,16,11,94,97
24,8,67,85,92,32,57,25,42
1,0,11,83,21,37,40,65,99
6,2,86,83,39,75,89,15,19
8,2,38,65,21,75,16,53,85
9,2,10,72,18,49,32,18,19
3,4,67,28,81,60,18,87,94
3,5,48,21,60,94,15,58,91
4,5,58,16,49,27,42,93,53
6,5,93,32,14,57,14,48,15
7,5,35,41,40,63,48,85,69
6,7,51,65,16,11,75,66,65
8,7,17,65,94,70,11,46,75
11,9,73,62,30,49,78,96,43
9,10,13,44,42,97,93,78,75
11,10,90,82,52,93,68,42,56
13,12,42,18,45,87,68,32,61
8,14,80,32,56,61,18,98,61
10,14,80,37,28,41,90,44,79
12,14,57,31,17,70,43,78,70
13,14,77,75,95,77,67,82,22
15,14,18,88,35,59,70,42,89
17,14,18,74,94,58,26,89,34
19,14,84,98,96,50,91,88,29
20,14,63,79,60,98,18,72,28
21,14,35,11,86,97,64,57,47
24,14,85,10,97,43,91,30,34
8,15,87,61,60,27,76,39,12
9,15,40,11,31,83,28,73,65
10,15,27,65,72,38,10,79,69
11,15,52,23,33,38,79,60,68
9,16,25,66,87,51,29,29,24
15,16,47,50,64,22,57,95,11
18,17,54,58,44,65,19,25,68
18,19,12,12,26,26,71,34,33
20,19,75,68,75,87,26,10,87
23,19,16,30,14,14,41,33,77
8,21,31,82,59,39,79,21,80
19,21,23,79,87,82,83,58,40
22,21,64,88,53,32,74,79,82
23,21,77,14,64,48,46,60,85
22,23,10,20,27,97,32,96,99
0,24,67,54,22,85,11,45,10
1,24,84,31,58,71,47,58,22
2,24,73,34,48,98,62,54,94
3,24,71,50,54,83,56,24,75
8,24,37,13,62,64,15,90,30
source,destination
9,1
lower_bound,upperbound
291.2,436.8
148.8,186
420.8,464.4
0,468
0,482.4
0,577.2
included_node(s)
2
