link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,2,71,46,96,68,94,66,63
0,4,33,50,90,93,81,63,95
0,9,74,76,96,86,63,53,75
0,15,36,22,71,92,15,37,45
0,19,53,53,36,85,45,29,11
1,6,77,98,69,86,14,75,36
1,13,25,80,53,35,23,18,13
1,14,23,66,78,32,23,37,31
2,6,78,43,46,70,42,16,17
2,12,75,39,60,25,94,55,30
3,4,54,27,58,70,31,68,89
3,16,94,62,17,67,72,81,17
3,20,14,77,64,66,48,88,91
4,6,54,50,16,84,79,15,44
4,7,23,55,67,51,52,44,11
4,10,34,75,80,48,23,13,34
4,12,92,56,19,45,96,86,34
4,14,71,91,55,25,89,76,50
4,18,61,13,84,87,57,68,14
5,6,39,34,94,20,27,45,98
5,12,87,90,48,39,34,85,41
5,17,84,94,22,50,82,29,48
6,13,88,98,99,74,82,16,20
6,21,19,26,76,89,53,86,27
7,12,73,37,86,88,88,80,21
8,9,98,59,41,68,82,20,13
8,19,82,55,99,68,43,83,74
9,20,92,75,38,28,26,55,33
10,21,40,36,66,70,49,84,90
11,12,20,29,99,51,26,32,22
11,14,10,16,88,46,77,90,13
14,21,63,34,62,38,43,12,54
15,21,44,31,89,45,60,47,69
16,18,36,82,46,84,40,43,79
17,21,89,46,85,82,48,39,51
18,21,49,74,78,82,95,67,70
2,0,14,43,15,70,96,70,67
4,0,14,78,39,17,24,48,17
9,0,63,92,56,67,18,56,53
15,0,82,76,13,41,90,38,74
19,0,41,17,51,84,18,55,37
6,1,69,72,66,37,39,24,43
13,1,76,91,72,98,24,19,81
14,1,45,46,15,50,18,95,81
6,2,24,74,72,21,71,82,39
12,2,51,46,40,11,66,54,44
4,3,32,21,48,51,31,98,15
16,3,68,30,43,18,29,68,25
20,3,22,89,47,78,55,30,84
6,4,83,24,84,38,79,29,71
7,4,97,16,89,28,46,65,23
10,4,99,80,85,17,41,16,25
12,4,67,71,97,78,23,10,19
14,4,47,14,89,54,81,71,86
18,4,71,96,62,58,85,54,94
6,5,92,98,83,28,63,42,31
12,5,46,64,30,22,25,43,51
17,5,15,13,61,27,80,90,31
13,6,84,35,22,46,80,49,16
21,6,76,52,48,44,65,79,42
12,7,26,32,22,68,59,22,43
9,8,47,93,62,83,19,91,71
19,8,91,76,11,34,98,82,48
20,9,22,15,64,65,19,22,12
21,10,73,38,60,29,11,34,12
12,11,81,74,48,16,99,73,89
14,11,61,80,94,48,14,41,34
21,14,39,71,27,90,97,57,69
21,15,47,52,77,76,75,21,96
18,16,76,34,50,15,74,87,77
21,17,21,99,31,31,49,85,43
21,18,79,59,28,60,83,28,86
source,destination
5,7
lower_bound,upperbound
116.8,175.2
48,60
136.8,128.4
0,111.6
0,128.4
0,100.8
included_node(s)
6
