link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
12,14,95,31,32,10,73,29,64
10,14,68,34,48,33,64,41,90
48,14,48,50,97,21,86,73,97
29,12,45,13,85,58,39,52,15
0,29,58,42,71,79,24,91,64
28,29,27,73,98,60,37,84,69
35,10,15,40,83,96,23,53,27
44,10,41,26,64,45,52,80,69
25,10,27,10,85,58,81,33,89
48,0,87,81,44,54,95,13,99
46,0,93,52,95,24,36,11,67
4,35,93,61,55,90,59,66,27
39,35,28,60,22,76,74,87,74
44,28,73,53,17,74,94,78,32
16,28,84,61,66,35,60,60,37
23,28,11,73,24,55,63,43,89
46,28,70,17,67,57,64,37,81
4,44,98,26,63,29,74,91,73
19,44,81,48,57,96,43,38,53
38,48,58,35,46,97,56,59,32
36,48,58,29,47,92,90,79,31
31,3,74,96,47,15,29,71,63
11,3,35,89,36,27,50,15,21
43,3,41,87,88,83,19,92,21
32,3,62,79,59,79,99,34,86
20,3,48,71,92,96,85,17,68
11,31,62,28,67,43,23,23,72
13,31,83,67,47,60,18,68,89
32,31,68,37,58,53,87,41,68
2,31,76,90,96,58,20,99,98
13,11,37,73,81,85,13,36,39
8,11,63,58,42,15,60,60,84
8,13,97,25,44,43,36,40,51
25,13,38,24,40,58,90,99,36
49,13,60,24,28,26,90,64,89
2,8,55,19,15,22,12,83,15
32,43,55,49,38,70,79,45,57
20,43,65,54,63,22,13,17,69
21,43,49,87,32,58,54,25,36
27,43,72,49,75,80,23,68,47
5,32,53,35,59,28,61,21,30
27,21,42,39,79,34,43,26,93
22,21,65,10,82,71,72,87,26
5,21,33,47,33,57,35,60,94
38,6,67,45,86,98,37,57,77
7,6,11,23,48,58,32,47,15
22,6,86,73,10,64,50,93,45
15,27,38,14,15,17,53,46,20
36,38,10,92,12,39,58,90,40
39,38,67,21,57,22,84,83,88
7,15,48,39,51,14,62,95,43
4,22,58,21,11,31,10,69,61
5,22,93,18,57,28,65,16,13
39,22,35,81,40,83,12,11,16
5,4,51,60,89,66,71,61,34
25,5,17,49,16,97,27,41,90
19,25,73,14,32,42,49,70,36
18,25,13,40,18,99,46,37,96
9,16,90,16,15,19,35,61,41
19,16,42,94,42,85,88,11,94
18,16,80,30,14,19,56,36,57
33,9,80,42,48,94,91,87,70
23,9,57,52,75,91,48,23,78
24,33,77,45,11,53,45,28,98
42,23,18,56,78,15,43,87,58
24,23,18,28,93,69,90,39,30
18,19,84,17,68,65,99,63,13
42,46,63,95,68,75,22,32,15
49,18,35,35,18,43,94,47,89
24,42,85,94,90,75,16,78,39
24,45,87,96,43,56,87,53,14
47,45,40,60,67,61,55,20,19
30,45,27,86,70,61,49,95,85
49,45,52,97,26,79,59,40,82
17,24,25,60,91,70,42,70,65
1,47,47,31,18,22,38,14,62
17,30,54,72,64,89,43,39,49
26,30,12,33,91,34,83,63,10
1,34,75,87,76,29,82,50,73
26,34,16,64,28,28,91,30,79
40,34,31,44,10,47,29,47,50
37,34,23,26,79,34,96,45,68
41,34,64,75,29,12,53,51,93
49,1,77,14,57,65,84,15,54
41,40,10,59,19,69,98,98,74
2,37,67,87,71,68,24,65,27
49,37,84,53,26,24,63,46,44
41,37,73,64,41,11,99,69,10
14,12,71,27,79,68,61,92,76
14,10,37,22,83,33,89,97,75
14,48,67,58,74,87,87,32,95
12,29,51,48,46,77,69,80,33
29,0,17,54,32,80,80,85,97
29,28,77,62,11,40,87,98,35
10,35,80,45,47,82,66,60,83
10,44,77,62,62,85,23,34,55
10,25,85,43,56,99,78,37,17
0,48,26,14,15,10,66,23,86
0,46,92,19,31,22,87,56,22
35,4,72,68,64,94,34,74,96
35,39,12,99,96,75,72,91,77
28,44,79,15,26,30,75,99,27
28,16,13,80,31,55,79,84,67
28,23,81,47,28,89,73,48,24
28,46,31,64,42,61,86,91,99
44,4,28,40,74,78,73,16,32
44,19,28,30,36,11,11,52,77
48,38,37,37,59,50,30,31,11
48,36,82,25,65,12,56,70,32
3,31,55,17,12,30,45,54,12
3,11,43,91,77,69,73,13,80
3,43,14,22,28,49,37,69,35
3,32,30,85,82,16,41,90,70
3,20,59,29,59,71,27,54,73
31,11,81,26,37,66,22,74,79
31,13,30,97,53,76,91,88,44
31,32,27,16,30,91,93,71,91
31,2,65,32,53,42,37,73,75
11,13,94,61,85,77,52,57,44
11,8,88,86,61,59,54,25,67
13,8,92,96,37,66,26,70,12
13,25,23,71,21,26,39,42,91
13,49,91,86,97,89,76,95,52
8,2,61,12,21,98,58,17,99
43,32,90,85,22,18,27,40,79
43,20,33,31,44,33,42,17,35
43,21,38,64,73,45,33,41,16
43,27,37,28,68,69,57,67,86
32,5,49,36,50,33,60,30,73
21,27,30,73,94,19,21,50,80
21,22,10,86,32,63,81,94,45
21,5,13,87,98,61,84,74,12
6,38,61,40,21,92,48,49,97
6,7,65,29,15,71,22,40,12
6,22,85,86,78,50,19,74,27
27,15,83,95,15,53,86,41,59
38,36,83,59,80,49,85,47,35
38,39,65,16,66,13,21,27,56
15,7,72,32,26,94,68,24,60
22,4,28,37,97,51,94,69,19
22,5,21,75,31,33,18,33,20
22,39,16,75,94,25,42,79,40
4,5,32,49,25,53,31,90,96
5,25,41,60,65,92,12,23,80
25,19,65,94,15,48,21,85,66
25,18,65,27,53,71,95,26,75
16,9,62,57,18,68,55,64,76
16,19,44,63,87,39,14,57,19
16,18,82,11,58,14,33,89,50
9,33,18,70,93,97,98,73,72
9,23,32,49,48,51,21,72,38
33,24,37,97,85,32,49,22,14
23,42,31,93,66,76,89,15,26
23,24,75,87,46,92,87,30,80
19,18,88,61,96,82,60,81,65
46,42,74,41,78,84,68,45,95
18,49,98,70,42,25,81,37,15
42,24,79,77,32,27,83,23,71
45,24,11,59,98,16,25,65,43
45,47,10,58,44,11,94,58,40
45,30,61,50,78,88,94,63,52
45,49,11,98,82,69,58,59,78
