link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,1,95,88,51,88,88,81,15
1,0,68,14,22,72,69,83,30
0,2,48,20,65,57,24,25,81
2,0,45,54,26,30,80,94,45
0,3,58,31,87,39,92,94,37
3,0,27,34,14,73,26,58,23
0,4,15,50,39,79,34,78,65
4,0,41,13,82,60,41,94,58
0,6,27,42,32,29,29,70,63
6,0,87,73,48,95,80,88,59
1,2,93,40,97,25,45,43,84
2,1,93,26,85,34,52,56,64
1,7,28,10,71,10,57,61,89
7,1,73,81,98,33,50,11,58
2,3,84,52,83,21,96,50,57
3,2,11,61,64,58,95,31,88
2,6,70,60,85,79,73,43,37
6,2,98,53,44,60,64,33,33
3,4,81,61,95,96,86,33,57
4,3,58,73,55,45,39,16,61
3,6,58,17,22,58,24,29,12
6,3,74,26,17,54,37,41,47
3,9,35,48,66,24,23,73,36
9,3,41,35,24,90,52,52,88
4,5,62,29,67,76,81,91,64
5,4,48,96,63,74,95,84,90
4,8,62,89,57,35,36,53,97
8,4,83,87,46,55,59,80,15
5,8,68,79,47,57,74,33,64
8,5,76,71,47,29,94,13,69
5,17,37,28,36,96,60,11,27
17,5,63,67,88,97,63,66,69
6,9,97,37,59,92,64,87,89
9,6,38,90,92,15,74,78,99
6,10,60,73,67,27,43,60,67
10,6,55,58,47,83,56,43,27
7,11,55,25,58,79,90,37,74
11,7,65,24,96,96,29,91,32
7,24,49,24,81,43,50,38,37
24,7,72,19,42,60,19,59,89
8,9,53,49,44,53,99,79,81
9,8,42,54,40,58,85,71,73
8,12,65,87,28,85,23,15,53
12,8,33,49,15,15,18,92,32
8,13,67,35,38,43,87,34,31
13,8,11,39,63,58,20,17,63
8,14,86,10,32,26,13,23,21
14,8,38,47,75,22,60,68,21
9,10,10,45,59,70,36,41,86
10,9,67,23,79,22,90,99,68
9,14,48,73,82,58,90,36,72
14,9,58,14,33,80,12,60,89
9,23,93,92,86,28,79,40,68
23,9,35,21,48,34,13,99,98
10,11,51,39,10,71,54,64,39
11,10,17,21,15,57,23,83,84
10,16,73,18,12,98,61,45,51
16,10,13,81,57,58,43,17,36
11,24,90,60,51,64,72,25,89
24,11,42,49,11,17,35,68,15
12,13,80,14,57,39,37,21,57
13,12,80,40,40,22,32,26,69
12,17,57,16,89,14,50,87,36
17,12,77,94,16,31,53,60,47
12,18,18,30,32,28,58,57,30
18,12,18,42,18,83,84,47,93
13,14,84,52,15,66,62,93,26
14,13,63,45,42,97,10,46,94
13,19,35,56,14,42,65,90,77
19,13,85,28,48,99,12,83,15
13,25,87,17,75,19,71,95,45
25,13,40,95,11,85,27,69,20
14,15,27,35,78,19,49,16,40
15,14,52,94,93,94,46,11,88
15,16,25,96,68,91,35,61,43
16,15,47,60,68,53,88,41,61
15,19,54,86,18,15,56,70,13
19,15,12,97,90,69,91,37,16
15,22,75,60,43,65,48,61,34
22,15,16,31,67,75,45,11,90
15,23,31,72,70,43,43,36,36
23,15,23,33,26,75,90,87,96
16,23,64,87,91,56,99,23,41
23,16,77,64,18,61,22,28,94
16,24,10,44,64,61,94,87,57
24,16,67,26,91,79,16,39,70
16,30,84,75,76,70,87,63,78
30,16,73,14,28,22,55,32,98
17,18,71,59,10,89,49,47,58
18,17,37,87,79,34,59,78,30
17,20,67,53,29,29,42,53,13
20,17,51,64,57,28,38,20,15
17,35,17,27,19,47,43,95,89
35,17,77,22,71,34,83,40,39
18,21,80,58,26,12,82,70,14
21,18,77,48,41,65,91,14,19
18,25,85,54,79,69,29,39,85
25,18,26,62,83,68,96,63,82
19,22,92,45,74,24,53,50,65
22,19,72,62,46,11,84,30,62
19,25,12,43,32,68,98,47,49
25,19,79,14,11,33,24,45,10
20,21,13,19,47,87,63,51,73
21,20,81,68,62,77,99,15,79
20,35,31,99,56,80,61,98,50
35,20,28,15,15,40,89,65,68
21,26,28,80,31,82,87,46,93
26,21,37,47,64,85,69,69,54
22,23,82,64,96,99,80,92,74
23,22,55,40,26,10,87,97,27
22,25,43,30,31,22,66,32,44
25,22,14,37,28,94,23,80,10
22,27,30,25,42,75,78,85,76
27,22,59,17,74,30,66,98,75
22,33,81,91,36,55,87,60,95
33,22,30,22,59,89,34,34,33
23,27,27,85,65,61,72,37,97
27,23,65,29,12,78,75,23,35
23,28,94,26,77,11,79,56,83
28,23,88,97,28,50,73,74,55
24,30,92,16,82,12,86,91,17
30,24,23,32,59,30,73,99,86
25,26,91,61,37,69,11,84,22
26,25,61,86,53,49,30,48,96
25,29,90,96,30,16,56,91,77
29,25,33,71,53,71,45,16,27
25,33,38,86,85,66,73,52,67
33,25,37,12,61,76,37,31,24
26,34,49,85,37,91,41,70,99
34,26,30,31,21,42,27,54,32
27,29,10,64,97,77,22,13,77
29,27,13,28,21,59,91,69,11
27,30,61,36,22,66,93,90,32
30,27,65,73,44,26,37,54,12
27,31,85,86,73,89,52,74,80
31,27,83,87,68,98,54,88,35
27,33,83,40,50,18,26,71,70
33,27,65,29,94,33,39,73,73
28,29,72,86,32,45,76,57,79
29,28,28,95,98,69,58,25,44
28,30,21,59,21,33,27,70,91
30,28,16,16,15,19,42,42,75
29,30,32,32,78,63,33,95,44
30,29,41,37,15,61,57,17,67
30,32,65,75,80,92,60,40,12
32,30,65,75,66,71,21,17,91
30,38,62,49,26,50,81,41,52
38,30,44,60,97,53,84,67,99
