link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,33,86,23,50,34,97,20,39
0,34,64,54,90,35,46,92,79
1,2,22,52,82,25,29,24,97
1,3,99,82,76,84,14,40,26
1,38,91,85,67,80,85,98,80
2,1,83,78,62,79,38,82,62
2,35,62,58,45,35,85,43,22
2,36,81,34,36,51,56,97,72
3,1,97,25,41,41,24,62,83
3,4,73,70,13,23,96,13,88
3,36,77,40,80,67,37,34,18
3,37,31,32,48,67,52,31,24
4,3,86,34,40,97,64,63,52
4,11,57,20,24,66,34,29,44
4,33,25,48,71,51,31,58,61
4,35,54,43,31,28,83,64,18
4,36,70,36,27,86,58,89,56
5,6,98,76,29,38,55,39,91
5,7,55,95,83,54,17,60,16
5,37,27,93,17,69,57,42,54
6,5,55,26,96,53,45,99,21
6,7,98,67,31,22,34,30,19
6,8,67,93,57,82,59,42,24
6,11,32,89,64,70,89,90,63
6,31,20,71,61,46,92,40,19
7,5,37,32,69,67,41,16,98
7,6,84,53,58,59,28,49,69
7,21,27,29,39,78,25,21,27
8,6,35,50,22,27,65,52,73
8,10,73,11,96,21,54,30,38
9,10,13,31,85,48,73,89,59
9,12,22,63,62,52,63,25,12
9,32,90,17,86,98,52,22,17
10,8,77,35,30,63,54,66,56
10,9,21,45,38,88,29,17,80
10,11,43,92,53,78,37,72,49
10,15,23,66,44,94,45,48,71
11,4,35,55,74,76,14,13,55
11,6,77,26,41,81,83,70,73
11,10,20,81,38,87,59,63,54
12,9,60,77,39,89,63,68,95
12,13,16,18,22,49,20,56,81
12,14,93,65,76,54,11,46,68
12,15,47,11,70,86,27,31,48
13,12,63,81,88,67,97,75,25
13,15,70,13,99,58,84,95,82
13,16,53,44,53,14,10,47,18
13,29,86,69,16,53,17,27,34
14,12,69,42,29,86,40,86,35
14,17,98,92,37,20,69,97,76
14,27,65,62,75,74,64,21,40
15,10,76,20,77,91,37,48,99
15,12,59,21,58,84,93,27,85
15,13,32,17,32,57,76,53,17
15,31,60,61,41,61,27,38,62
16,13,69,45,71,82,86,57,95
16,20,60,92,54,76,69,59,15
16,23,44,67,51,20,45,39,83
16,31,49,26,10,23,63,31,74
17,14,47,42,66,94,35,64,41
17,18,69,30,47,83,51,59,21
17,28,14,47,48,61,89,72,34
17,29,59,95,28,98,88,41,95
18,17,21,37,85,81,93,33,80
18,22,43,35,30,76,43,38,80
18,26,33,92,19,86,69,10,38
18,27,17,30,91,21,83,57,29
19,22,56,91,64,32,40,39,51
19,27,58,99,45,62,74,13,45
20,16,84,98,32,93,66,27,92
20,23,29,34,54,20,90,92,96
20,25,19,76,74,13,37,71,40
20,30,90,69,96,42,39,36,35
21,7,22,89,31,26,53,90,26
21,23,18,77,96,89,16,55,40
21,24,16,12,47,99,88,63,13
21,31,83,55,30,74,38,85,60
22,18,61,74,50,55,16,92,10
22,19,92,71,15,15,95,80,37
23,16,14,49,11,22,68,34,86
23,20,21,28,39,65,75,90,76
23,21,57,33,80,41,22,53,29
23,30,80,59,78,14,95,72,85
24,21,70,39,49,12,30,17,24
24,30,42,93,13,50,50,96,36
25,20,40,21,71,27,74,62,99
25,26,92,74,20,84,16,27,71
25,28,54,85,19,27,19,18,94
26,18,36,78,75,90,71,91,82
26,25,41,53,73,97,32,48,45
27,14,91,79,75,21,96,72,35
27,18,95,98,22,73,74,12,94
27,19,97,52,73,20,21,20,69
28,17,13,36,55,71,46,65,30
28,25,69,35,60,17,68,87,74
29,13,40,77,93,86,16,11,12
29,17,36,28,64,19,16,65,58
30,20,76,17,51,28,51,96,56
30,23,87,68,19,19,47,40,15
30,24,84,79,99,34,80,69,93
31,6,60,68,35,21,69,24,10
31,15,16,92,26,81,37,84,63
31,16,55,55,36,37,69,40,86
31,21,12,37,32,15,98,12,36
32,9,80,44,47,97,42,74,42
32,33,25,32,32,27,75,85,78
33,0,18,39,31,67,48,65,39
33,4,63,51,29,34,70,22,54
33,32,38,96,34,72,81,78,79
34,0,62,10,36,34,96,98,28
34,35,67,90,31,46,90,46,40
35,2,50,76,25,90,18,30,55
35,4,20,85,16,65,18,51,99
35,34,47,49,61,12,48,70,77
36,2,20,16,64,92,90,89,31
36,3,14,40,71,16,20,48,36
36,4,39,60,85,30,74,32,76
37,3,64,42,37,76,97,16,92
37,5,58,77,42,33,81,18,30
37,38,65,90,60,72,46,75,59
38,1,95,47,62,36,29,16,90
38,37,49,56,17,96,78,80,17
source,destination
38,8
lower_bound,upperbound
331.2,496.8
168,210
309.6,464.4
0,499.2
0,427.2
0,373.2
included_node(s)
6
