link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
0,6,95,67,64,46,92,39,51
0,11,54,87,84,30,48,81,28
0,12,35,23,61,62,65,39,70
0,13,77,49,89,44,37,39,98
1,3,30,80,15,95,67,82,44
1,21,93,76,25,48,73,19,59
2,14,60,85,90,65,34,23,58
2,15,98,27,89,15,16,21,25
3,7,12,88,73,91,53,57,97
3,26,42,20,63,71,70,94,78
4,8,26,37,93,28,51,87,97
4,12,53,68,45,65,28,55,86
4,17,98,92,47,32,51,34,50
4,20,59,43,77,20,44,67,97
4,25,47,31,69,10,97,54,54
5,15,75,91,61,73,12,80,22
5,19,99,92,71,95,71,38,46
6,10,10,79,40,58,85,27,68
6,19,56,66,84,78,47,58,44
7,20,59,96,63,10,11,44,31
7,25,85,64,73,83,13,10,70
8,18,30,86,67,92,61,61,65
9,11,41,59,74,18,97,12,57
9,13,85,89,56,32,47,29,99
10,12,49,72,82,56,50,47,15
10,17,54,71,34,11,23,82,94
10,23,64,24,84,99,70,50,44
13,19,93,62,82,82,75,64,63
14,19,59,94,14,20,16,59,17
16,17,89,20,71,49,59,70,83
16,21,20,67,65,82,86,88,27
16,27,54,61,30,56,60,88,58
17,24,43,59,17,31,97,52,63
18,22,97,81,26,96,13,27,49
19,23,83,62,19,91,49,80,19
20,24,26,39,75,79,64,86,98
21,26,90,57,42,96,39,88,99
22,25,95,47,61,18,73,93,67
27,14,76,19,26,84,32,59,75
23,27,54,98,67,50,82,45,58
24,26,37,19,76,79,95,88,45
6,0,93,46,19,65,35,99,72
11,0,59,66,12,67,62,52,44
12,0,35,12,24,63,47,74,47
13,0,14,41,87,37,69,28,31
3,1,59,88,33,67,60,96,51
21,1,10,93,75,36,11,55,59
14,2,13,34,20,84,92,19,68
15,2,59,67,64,25,97,76,19
7,3,19,59,22,66,48,13,94
26,3,25,30,36,85,55,53,89
8,4,44,84,89,61,62,38,42
12,4,91,97,41,59,61,27,21
17,4,56,41,10,55,15,17,98
20,4,29,35,46,83,10,57,93
25,4,92,69,23,67,11,64,26
15,5,11,12,86,18,80,89,93
19,5,46,11,30,44,32,97,37
10,6,85,32,58,49,38,80,42
19,6,22,58,91,28,86,48,62
20,7,35,21,54,46,81,30,73
25,7,57,51,23,83,24,30,21
18,8,28,19,21,74,98,36,73
11,9,30,32,61,29,78,72,36
13,9,16,84,91,41,80,99,60
12,10,11,72,83,27,47,68,82
17,10,98,24,88,98,94,20,34
23,10,97,42,85,37,19,87,21
19,13,96,71,96,87,73,62,11
19,14,75,33,15,45,78,70,61
17,16,51,92,53,77,53,84,70
21,16,85,81,35,28,30,12,98
27,16,30,31,24,62,13,31,34
24,17,63,58,17,96,16,36,14
22,18,72,83,49,82,29,76,45
23,19,34,24,63,89,34,49,55
24,20,22,98,41,63,28,85,17
26,21,35,76,76,70,30,83,56
25,22,38,48,74,73,26,58,75
14,27,71,28,57,41,77,23,27
27,23,96,87,88,37,30,49,12
26,24,15,30,10,20,72,63,64
source,destination
10,11
lower_bound,upperbound
216,324
149.6,187
173.6,268.8
0,193.2
0,370.8
0,423.6
included_node(s)
9
