link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
7,15,95,11,67,15,54,91,53
0,14,54,46,61,25,23,79,70
4,16,35,85,59,90,21,96,51
5,16,77,22,81,89,61,18,28
3,4,30,35,62,73,91,84,51
17,18,93,57,39,63,83,50,44
10,16,60,28,57,93,88,79,97
7,17,98,30,47,45,85,65,12
3,11,12,16,19,47,96,67,71
2,16,42,11,98,77,15,63,85
3,12,26,98,19,69,53,37,47
0,12,53,97,46,61,35,67,11
9,11,98,96,66,71,24,36,13
9,16,59,75,12,40,17,84,61
1,19,47,51,41,84,49,25,97
3,17,75,85,88,63,63,66,47
5,17,99,30,93,73,41,85,50
12,19,10,63,34,67,76,61,23
1,8,56,72,67,74,74,59,70
2,6,59,34,59,56,57,55,75
4,14,85,22,30,82,88,83,16
5,11,30,35,84,34,10,67,59
15,16,41,38,97,84,46,18,86
2,4,85,71,41,82,30,44,60
0,7,49,96,35,14,62,49,97
2,13,54,15,69,71,44,28,13
1,10,64,67,12,65,95,46,49
2,12,93,87,11,30,48,83,64
15,7,59,23,32,17,65,74,39
14,0,89,49,58,26,15,29,73
16,4,20,80,21,19,91,41,32
16,5,54,76,51,75,71,27,82
4,3,43,85,19,42,28,98,95
18,17,97,27,32,61,65,37,35
16,10,83,88,84,26,32,87,62
17,7,26,20,72,67,20,45,47
11,3,90,37,24,76,10,77,69
16,2,95,68,42,19,73,28,60
12,3,76,92,71,12,95,62,11
12,0,54,43,33,24,58,96,92
11,9,37,31,92,87,78,82,97
16,9,93,91,81,33,10,89,48
19,1,59,92,31,75,83,63,55
17,3,35,79,58,20,92,70,62
17,5,14,66,83,64,18,73,61
19,12,59,96,24,22,32,41,15
8,1,10,64,98,36,56,37,10
6,2,13,86,76,89,11,20,11
14,4,59,59,48,41,99,92,80
11,5,19,89,28,10,82,48,32
16,15,25,72,87,46,20,65,38
4,2,44,71,30,23,49,37,86
7,0,91,24,64,86,82,67,81
13,2,56,62,84,30,56,73,24
10,1,29,94,61,58,31,34,98
12,2,92,20,89,91,96,16,78
source,destination
19,18
lower_bound,upperbound
264,396
134.4,168
128,201.6
0,384
0,361.2
0,312
included_node(s)
3
