link_source,link_destination,cost,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
19,2,95,13,37,86,32,98,69
19,3,68,81,90,87,18,44,68
19,11,48,31,73,40,15,78,24
19,14,45,28,58,29,42,82,11
16,19,58,28,25,86,14,42,68
19,21,27,37,24,95,48,89,33
19,22,15,82,24,59,75,88,87
20,9,41,55,19,16,11,72,77
22,8,27,43,49,32,78,57,80
22,13,87,14,54,37,93,30,40
22,23,93,30,87,75,68,39,82
23,13,93,59,49,75,68,73,85
1,11,28,81,35,49,18,79,99
1,14,73,30,39,60,90,60,10
2,13,84,27,10,94,43,29,22
2,14,11,65,47,27,67,95,94
3,7,70,94,45,57,70,25,75
2,4,98,88,23,63,26,34,30
4,5,81,92,73,11,91,10,55
4,14,58,23,14,70,18,33,89
5,14,58,91,92,49,64,21,61
7,21,74,61,21,97,91,58,78
9,14,35,90,39,93,76,79,11
10,14,41,33,21,87,28,60,50
14,15,62,38,18,61,10,96,12
16,0,48,37,81,41,79,45,30
17,10,62,49,60,70,29,58,69
17,20,83,30,49,77,57,54,49
1,18,68,10,14,59,19,24,16
14,18,76,13,40,58,71,90,71
14,17,37,61,16,50,26,76,66
0,8,63,65,94,98,41,74,76
0,19,97,85,30,97,79,35,91
11,21,38,83,42,43,83,55,42
7,19,60,83,52,27,74,57,77
1,4,55,65,45,83,46,29,59
4,11,55,72,56,38,32,96,66
10,15,65,28,28,38,11,97,26
17,15,49,21,17,51,47,92,89
15,9,72,16,95,22,62,15,98
15,18,53,32,35,65,56,27,18
8,19,42,41,94,26,15,83,33
14,22,65,65,96,87,31,79,45
6,18,33,65,60,14,64,96,69
3,11,67,62,86,39,96,43,33
11,12,11,44,97,82,26,60,19
4,12,86,82,60,32,31,53,63
1,12,38,18,31,48,28,58,61
6,15,10,32,72,97,42,85,92
16,22,67,37,33,85,74,15,71
9,6,48,31,87,71,36,43,50
2,19,58,75,64,98,59,58,53
3,19,93,88,44,83,65,26,49
11,19,35,74,26,64,12,22,13
14,19,51,98,75,85,77,70,94
19,16,17,79,14,44,28,22,51
21,19,73,11,59,95,82,58,33
22,19,13,10,87,55,59,80,25
9,20,90,61,53,22,37,28,53
8,22,42,11,64,17,53,34,92
13,22,80,65,27,66,30,71,48
23,22,80,23,22,24,53,57,71
13,23,57,66,58,67,85,98,68
11,1,77,50,48,63,61,58,39
14,1,18,58,54,57,37,64,14
13,2,18,12,62,46,21,17,97
14,2,84,68,45,47,97,39,51
7,3,63,30,62,47,21,22,32
4,2,35,82,43,36,22,14,76
5,4,85,79,14,88,44,31,92
14,4,87,88,19,59,73,28,82
14,5,40,14,68,92,68,83,84
21,7,27,20,99,67,50,66,25
14,9,52,54,15,47,94,97,27
14,10,25,31,80,58,32,42,16
15,14,47,34,47,96,98,99,11
0,16,54,50,64,81,21,19,88
10,17,12,13,40,42,15,85,69
20,17,75,42,30,44,78,19,24
18,1,16,73,37,40,15,94,80
18,14,31,40,25,28,80,91,92
17,14,23,26,17,15,66,53,26
8,0,64,10,91,38,26,15,34
19,0,77,81,22,63,97,69,41
21,11,10,52,85,32,31,65,29
19,7,67,61,29,75,94,75,80
4,1,84,60,26,59,25,43,45
11,4,73,53,97,79,65,75,52
15,10,71,61,16,82,15,56,57
15,17,37,73,32,33,53,61,50
9,15,67,17,61,86,18,61,96
18,15,51,26,86,48,87,79,95
19,8,17,48,96,10,58,70,73
22,14,77,35,71,15,93,22,64
18,6,80,29,86,12,48,89,86
11,3,77,96,12,57,85,34,39
12,11,85,89,85,51,66,29,24
12,4,26,87,31,11,46,28,37
12,1,92,79,64,57,96,47,23
15,6,72,71,28,40,78,34,52
22,16,12,28,36,89,42,12,81
6,9,79,67,73,16,32,65,95
source,destination
13,15
lower_bound,upperbound
292.8,439.2
148,185
266.4,673.2
0,282
0,549.6
0,648
included_node(s)
18
